"address","isDefaulted","isRingOwner","borrowers","stakers","tokens"
"0xFC32E7c7c55391ebb4F91187c91418bF96860cA9",true,false,2,4,5100
"0xb8150a1B6945e75D05769D685b127b41E6335Bbc",false,true,100,8,18941
"0x0730fD7D15fA9a40a6C7B2bbb4B8CE9ee6E6d08B",false,true,12,5,9841
"0xEa8aF8e46AE8Eb92705a370cE9a12EDE88F49451",false,false,39,5,9400
"0xcc0C1A655C87752Ab57859c3A161770fC99cE4C3",false,true,43,6,13041
"0xE61d5970744B1A9Be57B5FE6779952e171f8b2F2",false,false,21,6,7700
"0xdecaf8988CBAb120bC12136E7E6782B49273DDb2",true,false,8,3,5600
"0x0C387030a5D3AcDcde1A8DDaF26df31BbC1CE763",false,true,4,8,9341
"0x93e81E70aD8AF7CFFA184f0bd670566c2493EbA7",false,false,3,5,5800
"0x567F02bd4010082A740db2cf1b9A6611b7be6E2F",false,true,10,9,10041
"0x7A7dB5ec4E095fa8Cfa95C60cf2cB3508D602B59",false,false,3,5,5800
"0x684f49bc1e04339d84F2370f14Dc1491A3B4F113",false,true,32,7,12041
"0x53e80019EA8af3B351A393BF0e4E19d4f8E9cf23",false,false,2,5,5700
"0x070C36bC658d69Bd0FE6596188ad60365dE7E835",false,false,13,6,6900
"0xC8D46eb7881975F9aE15216FeEBa2ff58E55803c",false,false,4,6,6000
"0x3f625F1B58B06aE5ec3cd524f32b27558385571E",false,false,0,3,5300
"0x59F48fBD3D7BE2355Fb91a32D2F9B14ef17F62B3",false,false,0,3,5300
"0xBa50f01dFC27b8a6eD26694B7E4A828Ae0D0f90F",false,false,17,3,7000
"0x8517e0633F49fF1cd554B5a12337A27F807cD653",false,false,4,5,5900
"0xEc143ca01e3d305bdB20d49907AEcd9F1DEd1863",false,false,22,6,7800
"0x1c2CdDC58EAE7A9d6CFd2aA7b8ed7dDaD9900179",false,true,40,5,12641
"0xd7Ddf70125342f44E65ccbafAe5135F2bB6526bB",false,false,5,3,5800
"0x5bb96c35a68Cba037D0F261C67477416db137F03",true,true,8,4,8841
"0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5",true,true,6,3,8541
"0xD43a25B442E2C343dAd472A871c5262cCA275Eb4",false,true,13,7,10141
"0xA8EbE6DcDa66bB74a8DB994554d2Ad277cb54aDa",false,true,13,5,9941
"0x42D68d4E81087e43e70f6fd56bE4EE356Da3a3aC",true,false,1,8,5400
"0xA2612aEc7851965B6aE80BD12cAb9Bec2cB655D2",false,true,9,6,9641
"0x84bb8F4998527aaF4cf5633Bb2743533310600bB",true,false,1,7,5300
"0x3DAc271d1B36A434880C527A678B6487AC9C1F8c",false,false,0,3,5300
"0xdD31AB451583bD7994127873FbC0c36a7403FCBe",true,true,4,6,8641
"0xA9D89A5CAf6480496ACC8F4096fE254F24329ef0",false,true,3,3,8741
"0xBf996B44219BBc8BeE768FC6B824a9E3123F2176",false,true,2,3,8641
"0xF83064Ef09445eA2ab9E6Cd60e735f00e805851F",false,true,0,3,8441
"0xBDb2DF029bde62Ab13487A43af5F6246BC6c5CBf",false,true,0,3,8441
"0x000f4432a40560bBFf1b581a8b7AdEd8dab80026",true,true,3,5,8441
"0xeBEdc29cB0720C742C30D7D727C8fAf1beF23974",false,true,6,5,9241
"0xc0739d84806E793FaC2E0fc9162Aff25da800134",false,true,0,3,8441
"0xF627E5F4BAd95a956468d8BB6Ee20b119F992E96",false,false,12,6,6800
"0xBABEEbC4f9dEbc9DA0ABf1Bbe5680554F8c97438",false,true,57,9,14741
"0x41661EE33F2f42d38aBe1EF5658142c3D74F2fa5",false,false,0,5,5500
"0xa8fe0543011E81B87884FEc483063E0612a36F97",false,false,9,3,6200
"0x9dE8dea3B03620c3553fb8538d5d232D1d5b0446",false,true,0,6,8741
"0xBD6F210A624a792e7d30A2F7591Dc7Abce2F3C48",false,false,5,5,6000
"0xdbF14da8949D157B57acb79f6EEE62412b210900",false,true,0,6,8741
"0xaC79b6042a86B8705696E05a14A1853CE9B82ece",false,true,2,3,8641
"0xE5B314Fa02F366B136685Ef322a91586EF2364De",false,true,0,5,8641
"0xd291aCbf8C3429061C70A03Fb555317D9FF5def7",false,true,30,10,12141
"0xCc58a00B5C2e0Fef71Cc98d34c1d7c3D27B6935F",true,false,21,5,7100
"0xCca768585e1fa2871Ddfb789fFA95C6288162FC7",false,false,0,4,5400
"0x80fcfdd18c0b83a1827f5964D4D1B214Db16aDc5",false,true,7,4,9241
"0x9067FdcFCAF0d90C4055196CD727dc73CC23bcD8",false,false,5,8,6300
"0x2b49cE21Ad2004CFb3d0b51B2E8eC0406d632513",false,true,0,6,8741
"0x8690aAeD0AA91d362737dDAB57db28E0BA14b219",false,false,1,5,5600
"0xf6fDeE29e3A14610fdbE187e2d3442543cfA45B8",false,true,2,4,8741
"0xce90F7f63fb5C7CAA43bD6A9108949112397fEAf",true,false,1,5,5100
"0xc4449084c28a3D32bc4be31F02a03e23Fd391250",false,false,4,3,5700
"0x9aC41e441131d8BAD5f165c2a8dd71e5F7BfaEA8",false,false,4,5,5900
"0x3bc1158e5bcE8c10e5DA0EdFBB94b261eec46A76",false,false,5,3,5800
"0x61c2E4426D7E138E2993bbA914928385274aF0E3",false,false,2,3,5500
"0x96e1D9132e9Dee088cd79cc664316a16dFe490C6",false,true,7,3,9141
"0xd383c0E29C118BBbb1521D22d4E807a89B844bC7",false,false,4,4,5800
"0x0684607A522f0234b132F70525b7464619BE0333",false,false,1,3,5400
"0xf98b02EB8e85F24De18c80c18517113D8ab808cf",false,false,0,3,5300
"0xd7a7de0b3646eBe535194b1e1513034b82675b1A",false,false,3,3,5600
"0x18aD78140DB5cB318732d9ea53f402eeC3e37d36",false,false,2,3,5500
"0xbABB11a492D44a92B6D4AD2c9D75A4efbf17Ac08",false,false,8,3,6100
"0x48D5a63614F84Eb84Ef0439438248222d41ea368",false,false,2,3,5500
"0x43b7Be06F7030DD031A7eFC433f000d5d4C2ae29",false,false,3,5,5800
"0x6E9A88971e957Abb41bAe4E2677caE258F0c1e76",true,false,0,6,5100
"0xCC1bD134Ac44Db3ED5B684c160E7473bC0Eb9512",false,true,12,3,9641
"0x61912E0A8CB64061B9034B324E5ADbEB8dDDc673",false,true,6,4,9141
"0xfd2AFED55F7cF1Fe491A585498657EFE6A31227e",false,false,0,5,5500
"0x1007A39088C22A4dfe54032F08fC47A7303603Df",false,true,31,4,11641
"0xaDF780Bd5E85cAA9d9f644B65F3169644f008C63",false,true,1,6,8841
"0x4E10A6416c130DBcc8960eCe37914829938436bb",false,true,0,3,8441
